Fecha,Hora,Temp Ext (°C),Temp Máx,Temp Mín,Humedad Ext (%),Punto Rocío,Vel Vent,Dir Vent,Ráfaga Vent,Vel Máx,Dir Máx,Sens Term Wind,Índice Calor,THW,THSW,Presión (hPa),Lluvia (mm),Int Lluvia,Rad Solar,Energía Solar,Rad Solar Máx,UV,Dosis UV,UV Máx,Grados Día C,Grados Día F,Temp Int,Humedad Int,ET,Muestras Vent,Tx Vent,Recepción ISS,Intervalo Arc
24/09/26,1:00,11.2,11.8,10.7,69,5.7,0.0,---,0.00,0.0,---,11.2,10.8,10.8,---,875.8,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.299,0.000,20.6,45,8.3,19.5,8.47,.0641,0.03
24/09/26,2:00,11.1,11.3,10.9,70,5.8,1.6,W,1.61,4.8,WSW,11.1,10.7,10.7,---,875.5,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.301,0.000,20.4,45,8.1,19.3,8.48,.0641,0.03
24/09/26,3:00,10.1,11.0,9.2,75,5.8,0.0,SW,0.00,3.2,SSW,10.1,9.9,9.9,---,875.2,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.345,0.000,20.2,45,7.9,19.1,8.48,.0641,0.03
24/09/26,4:00,9.1,9.4,8.9,76,5.1,0.0,SW,0.00,3.2,SW,9.1,8.9,8.9,---,874.7,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.384,0.000,20.0,45,7.7,19.0,8.49,.0641,0.03
24/09/26,5:00,8.9,9.2,8.0,79,5.4,1.6,WNW,1.61,4.8,WNW,8.9,8.8,8.8,---,874.3,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.394,0.000,19.8,45,7.5,18.8,8.50,.0642,0.03
24/09/26,6:00,7.7,8.0,7.2,81,4.6,0.0,WNW,0.00,3.2,WNW,7.7,7.6,7.6,---,874.6,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.444,0.000,19.6,45,7.3,18.5,8.51,.0643,0.00
24/09/26,7:00,7.4,7.6,7.0,81,4.3,1.6,WNW,1.61,4.8,WNW,7.4,7.3,7.3,---,875.0,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.456,0.000,19.4,45,7.1,18.3,8.51,.0643,0.00
24/09/26,8:00,7.6,9.3,6.8,81,4.5,0.0,WNW,0.00,4.8,W,7.6,7.4,7.4,---,875.6,0.00,0.0,26,2.24,88,0.0,0.00,0.0,0.449,0.000,19.2,45,6.9,18.1,8.52,.0644,0.03
24/09/26,9:00,12.3,14.9,9.3,64,5.7,0.0,SE,0.00,4.8,ESE,12.3,11.7,11.7,---,876.1,0.00,0.0,203,17.46,318,0.0,0.00,0.5,0.250,0.000,19.1,45,6.8,17.9,8.52,.0645,0.10
24/09/26,10:00,16.8,18.3,14.9,53,7.1,1.6,E,1.61,6.4,E,16.8,15.8,15.8,---,876.2,0.00,0.0,419,36.04,499,1.1,0.47,1.9,0.065,0.000,19.1,46,7.2,18.0,8.65,.0645,0.25
